Time,CO*,O*,O2*,*,R_CO,R_O2,R_CO2
12300.0,0.0,0.9289279513888888,0.0,0.0710720486111111,0.0,-2.712673611111111e-07,0.0
12400.0,0.0,0.9290364583333334,0.0,0.07096354166666667,0.0,-2.712673611111111e-07,0.0
12500.0,0.0,0.9290364583333334,0.0,0.07096354166666667,0.0,0.0,0.0
12600.0,0.0,0.9290364583333334,0.0,0.07096354166666667,0.0,-2.712673611111111e-07,0.0
12700.0,0.0,0.9291449652777778,0.0,0.07085503472222222,0.0,-8.138020833333333e-07,0.0
12800.0,0.0,0.9293619791666666,0.0,0.07063802083333333,0.0,-8.138020833333333e-07,0.0
12900.0,0.0,0.9294704861111112,0.0,0.0705295138888889,0.0,-5.425347222222222e-07,0.0
13000.0,0.0,0.9295789930555556,0.0,0.07042100694444445,0.0,-2.712673611111111e-07,0.0
13100.0,0.0,0.9295789930555556,0.0,0.07042100694444445,0.0,0.0,0.0
13200.0,0.0,0.9295789930555556,0.0,0.07042100694444445,0.0,-5.425347222222222e-07,0.0
13300.0,0.0,0.9297960069444444,0.0,0.07020399305555555,0.0,-5.425347222222222e-07,0.0
13400.0,0.0,0.9297960069444444,0.0,0.07020399305555555,0.0,-2.712673611111111e-07,0.0
13500.0,0.0,0.9299045138888888,0.0,0.0700954861111111,0.0,-1.0850694444444444e-06,0.0
13600.0,0.0,0.9302300347222222,0.0,0.06976996527777778,0.0,-8.138020833333333e-07,0.0
13700.0,0.0,0.9302300347222222,0.0,0.06976996527777778,0.0,0.0,0.0
13800.0,0.0,0.9302300347222222,0.0,0.06976996527777778,0.0,-1.3563368055555556e-06,0.0
13900.0,0.0,0.9307725694444444,0.0,0.06922743055555555,0.0,-1.6276041666666666e-06,0.0
14000.0,0.0,0.9308810763888888,0.0,0.0691189236111111,0.0,-2.712673611111111e-07,0.0
14100.0,0.0,0.9308810763888888,0.0,0.0691189236111111,0.0,-2.712673611111111e-07,0.0
14200.0,0.0,0.9309895833333334,0.0,0.06901041666666667,0.0,-1.0850694444444444e-06,0.0
14300.0,0.0,0.9313151041666666,0.0,0.06868489583333333,0.0,-8.138020833333333e-07,0.0
14400.0,0.0,0.9313151041666666,0.0,0.06868489583333333,0.0,-2.712673611111111e-07,0.0
14500.0,0.0,0.9314236111111112,0.0,0.0685763888888889,0.0,-2.712673611111111e-07,0.0
14600.0,0.0,0.9314236111111112,0.0,0.0685763888888889,0.0,0.0,0.0
14700.0,0.0,0.9314236111111112,0.0,0.0685763888888889,0.0,-5.425347222222222e-07,0.0
14800.0,0.0,0.931640625,0.0,0.068359375,0.0,-8.138020833333333e-07,0.0
14900.0,0.0,0.9317491319444444,0.0,0.06825086805555555,0.0,-2.712673611111111e-07,0.0
15000.0,0.0,0.9317491319444444,0.0,0.06825086805555555,0.0,0.0,0.0
15100.0,0.0,0.9317491319444444,0.0,0.06825086805555555,0.0,0.0,0.0
15200.0,0.0,0.9317491319444444,0.0,0.06825086805555555,0.0,0.0,0.0
15300.0,0.0,0.9317491319444444,0.0,0.06825086805555555,0.0,-2.712673611111111e-07,0.0
15400.0,0.0,0.9318576388888888,0.0,0.0681423611111111,0.0,-2.712673611111111e-07,0.0
15500.0,0.0,0.9318576388888888,0.0,0.0681423611111111,0.0,-2.712673611111111e-07,0.0
15600.0,0.0,0.9319661458333334,0.0,0.06803385416666667,0.0,-5.425347222222222e-07,0.0
15700.0,0.0,0.9320746527777778,0.0,0.06792534722222222,0.0,-5.425347222222222e-07,0.0
15800.0,0.0,0.9321831597222222,0.0,0.06781684027777778,0.0,-2.712673611111111e-07,0.0
15900.0,0.0,0.9321831597222222,0.0,0.06781684027777778,0.0,-2.712673611111111e-07,0.0
16000.0,0.0,0.9322916666666666,0.0,0.06770833333333333,0.0,-1.3563368055555556e-06,0.0
16100.0,0.0,0.9327256944444444,0.0,0.06727430555555555,0.0,-1.6276041666666666e-06,0.0
16200.0,0.0,0.9329427083333334,0.0,0.06705729166666667,0.0,-8.138020833333333e-07,0.0
16300.0,0.0,0.9330512152777778,0.0,0.06694878472222222,0.0,-2.712673611111111e-07,0.0
16400.0,0.0,0.9330512152777778,0.0,0.06694878472222222,0.0,-5.425347222222222e-07,0.0
16500.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,-5.425347222222222e-07,0.0
16600.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
16700.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
16800.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
16900.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17000.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17100.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17200.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17300.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17400.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17500.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17600.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,0.0,0.0
17700.0,0.0,0.9332682291666666,0.0,0.06673177083333333,0.0,-2.712673611111111e-07,0.0
17800.0,0.0,0.9333767361111112,0.0,0.0666232638888889,0.0,-2.712673611111111e-07,0.0
17900.0,0.0,0.9333767361111112,0.0,0.0666232638888889,0.0,0.0,0.0
18000.0,0.0,0.9333767361111112,0.0,0.0666232638888889,0.0,-2.712673611111111e-07,0.0
18100.0,0.0,0.9334852430555556,0.0,0.06651475694444445,0.0,-2.712673611111111e-07,0.0
18200.0,0.0,0.9334852430555556,0.0,0.06651475694444445,0.0,-2.712673611111111e-07,0.0
18300.0,0.0,0.93359375,0.0,0.06640625,0.0,-2.712673611111111e-07,0.0
18400.0,0.0,0.93359375,0.0,0.06640625,0.0,0.0,0.0
18500.0,0.0,0.93359375,0.0,0.06640625,0.0,-2.712673611111111e-07,0.0
18600.0,0.0,0.9337022569444444,0.0,0.06629774305555555,0.0,-2.712673611111111e-07,0.0
18700.0,0.0,0.9337022569444444,0.0,0.06629774305555555,0.0,0.0,0.0
18800.0,0.0,0.9337022569444444,0.0,0.06629774305555555,0.0,0.0,0.0
18900.0,0.0,0.9337022569444444,0.0,0.06629774305555555,0.0,0.0,0.0
19000.0,0.0,0.9337022569444444,0.0,0.06629774305555555,0.0,-2.712673611111111e-07,0.0
19100.0,0.0,0.9338107638888888,0.0,0.0661892361111111,0.0,-2.712673611111111e-07,0.0
19200.0,0.0,0.9338107638888888,0.0,0.0661892361111111,0.0,0.0,0.0
19300.0,0.0,0.9338107638888888,0.0,0.0661892361111111,0.0,0.0,0.0
19400.0,0.0,0.9338107638888888,0.0,0.0661892361111111,0.0,0.0,0.0
19500.0,0.0,0.9338107638888888,0.0,0.0661892361111111,0.0,-2.712673611111111e-07,0.0
